name,sku,pack_size,mrp,selling_price,sound_level,stock,category,description
"2 3/4 Kuruvi",SOU-001,"1 Box",40,8,High,150,"Sound Crackers","A small, classic firecracker producing a single, sharp bang."
"3 1/2 Lakshmi",SOU-002,"1 Box",75,15,High,150,"Sound Crackers","A popular, standard-sized firecracker known for its loud and crisp report."
"4 Lakshmi",SOU-003,"1 Box",100,20,High,150,"Sound Crackers","A larger and louder version of the classic ""Lakshmi"" firecracker."
"Two Sound",SOU-004,"1 Box",170,34,High,150,"Sound Crackers","A firecracker that produces two distinct sounds, typically a pop as it ignites, followed by a louder bang."
"Ravaan 4 Dlx",SOU-005,"1 Box",300,60,High,150,"Sound Crackers","A deluxe 4-inch firecracker, engineered for an extra-loud and powerful explosion."
"4' inch Gold Lakshmi",SOU-006,"1 Box",150,30,High,150,"Sound Crackers","A premium version of the 4-inch Lakshmi cracker, likely featuring a brighter flash and a louder sound."
"5' Jallikattu",SOU-007,"1 Box",380,76,High,150,"Sound Crackers","A very large and powerful cracker, named after the bull-taming sport, delivering an intense and loud bang."
"6' Lion",SOU-008,"1 Box",475,95,High,150,"Sound Crackers","An even larger firecracker, designed to produce a deep, roaring explosion."
"Flower Pots Big (10 Pcs)",FLO-009,"10 Pcs",310,62,Low,150,"Flower Pots","An even larger firecracker, designed to produce a deep, roaring explosion."
"Flower Pots Special (10 Pcs)",FLO-010,"10 Pcs",360,72,Low,150,"Flower Pots","A pack of 10 special fountains, likely featuring enhanced colors, effects, or a longer duration."
"Flower Pots Asoka (10 Pcs)",FLO-011,"10 Pcs",475,95,Low,150,"Flower Pots","A set of 10 fountains from the ""Asoka"" brand, known for their reliable performance and bright spark display."
"Colour Koti - UV (10 Pcs)",FLO-012,"10 Pcs",1000,200,Low,150,"Flower Pots","A pack of 10 popular cone-shaped fountains that produce a shower of colorful sparks with a distinct purplish ""UV"" hue at the base."
"Colour Koti - Deluxe (10 Pcs)",FLO-013,"10 Pcs",1800,360,Low,150,"Flower Pots","A deluxe version of the Colour Koti, offering a more vibrant, longer-lasting, and more colorful display of sparks."
"Flower Pots Deluxe (2 Pcs)",FLO-014,"2 Pcs",620,124,Low,150,"Flower Pots","A pair of deluxe fountains, designed for a high-quality, brilliant display of sparks."
"Flower Pots Deluxe (5 Pcs)",FLO-015,"5 Pcs",920,184,Low,150,"Flower Pots","A pack of 5 deluxe fountains, offering a superior performance with brighter colors and longer duration."
"Lucky Red & Green Pots (5 Pcs)",FLO-016,"5 Pcs",1000,200,Low,150,"Flower Pots","A set of 5 fountains that are specifically designed to produce a dual-colored shower of red and green sparks."
"Ground Chakkaras Big (10 Pcs)",GRO-017,"10 Pcs",200,40,Low,150,"Ground Chakkaras","A pack of 10 large, classic spinning wheels that whirl on the ground, creating a wide circle of sparks."
"Ground Chakkar Special (10 Pcs)",GRO-018,"10 Pcs",335,67,Low,150,"Ground Chakkaras","A pack of 10 special ground spinners that offer enhanced performance, possibly with multiple colors or a faster spin."
"Ground Chakkar Deluxe (10 Pcs)",GRO-019,"10 Pcs",620,124,Low,150,"Ground Chakkaras","A pack of 10 deluxe ground spinners, providing a longer spin duration and a more brilliant spark display."
"Ground Chakkar Spinner Special (10 Pcs)",GRO-020,"10 Pcs",420,84,Low,150,"Ground Chakkaras","A set of 10 special ground spinners with an enhanced, more dynamic and colorful spark pattern."
"Ground Chakkar Spinner Dlx (10Pcs)",GRO-021,"10Pcs",725,145,Low,150,"Ground Chakkaras","A pack of 10 deluxe ground spinners, representing the best quality with the longest spin and most vibrant effects."
"Red Bijili (100 Pcs)",BIJ-022,"100 Pcs",180,36,Medium,150,"Bijili Crackers","A string of 100 small, red firecrackers that go off in a rapid, chain-reaction sequence with sharp, crackling sounds."
